registered_domain,xpath
people.com,"//div[@class = 'article u-padding']/p[not(@class=""advertisement"")]"
billboard.com,"//div[@class=""article-body""]/div[@class=""container""]/p | //div[contains(@class,""readmore"")]"
hollywoodreporter.com,"//div[@class=""article-body""]/div[@class=""container""] | //h2[@class=""article-deck""]"
nfl.com,"//div[@class=""articleText""]//p | //div[@class=""articleText""]//amp-twitter | //div[@class=""articleText""]//h3"
medicalxpress.com,"//div[@class = ""wraper""]//p "
foxnews.com,"//div[@class = 'article-body']/p | //div[contains(@class,""embed-media"")] | //div[@class=""caption""] | //section[contains(@class,""more-on-this"")]"
menshealth.com,"//figure[contains(@class,""file-image"")] | //div[@class=""field-items""]//p | //div[@class=""content""]//h2 | //div[@class=""field-items""]//amp-twitter"
theverge.com,"//div[@class=""article__body""]/*[not(self::div or self:: amp-iframe or self::amp-youtube or self::amp-video)] | //div[@class=""article__body""]/*[contains(@class,""related"")]"
engadget.com,"//div[@class=""article-body""]/*[not(self::div)]"
androidauthority.com,"//article[@class=""amp-wp-article""]/*[not(self::footer)]"
foxnews.com,"//div[contains(@class,""article-content"")]/div[@class=""article-body""]/*[not((contains(@class,""ad-container"")))]"
theguardian.com,"//div[@itemprop=""articleBody""]/*[not(contains(@class,""ad-container"") or @data-interactive)]"
reuters.com,"//*[@id=""articleText""]/*[not(contains(@class,""ad-container""))]"
forbes.com,"//div[contains(@class,""article-body"")]/*[not(contains(@class,""gallery"") or descendant::amp-ad)]"
ew.com,"//div[contains(@class,""article"")]/*[not(contains(@class,""advertisement"")) and not(contains(@class,""amp-ad"")) and not(contains(name(),""amp"")) and not(contains(@class,""video""))]"
eonline.com,"//*[@class=""byline""]/following-sibling::node()[count(.|//*[@class=""outbrain-wrapper""]/preceding-sibling::node())=count(//*[@class=""outbrain-wrapper""]/preceding-sibling::node())] [not(contains(@class,""ad-container""))]"
sbnation.com,"//div[@class=""article__body""]/*[not(contains(@class,""ad-wrapper""))][not(self::amp-ad)][not(self::amp-iframe)]"
washingtonpost.com,"//div[@class=""content-container""]/*[name()=""p"" or contains(@class,""tweet"") or name()=""ul"" or name()=""h1"" or name()=""blockquote""]"
slate.com,"//div[@class=""content""]/*[@class=""component text""]"
avclub.com,"//div[@class=""article-text""]/*[not(contains(name(),""amp""))]"
breitbart.com,"//div[@class=""article-body""]/*[not(@class=""adinbody"")]"
hehill.com,"//div[@class=""field-item even""]/p[not(descendant::amp-ad)]"
townhall.com,"//div[@class=""article""]/*[not(@class=""ad"")]"
apnews.com,"//div[@class=""articleBody""]/p"
theatlantic.com,"//div[contains(@class,""article-body"")]/section"
variety.com,"//div[@class=""amp-fn-content""]"
hollywoodlife.com,"//div[@class=""amp-fn-content""]/*[not(contains(@class,""gallery""))]"
thewrap.com,"//div[@class=""amp-wp-content""]/p"
uproxx.com,"//div[@class=""ug_page""]/p[not(descendant::amp-youtube)]"
cbssports.com,"//div[@id=""content""]/*[self::p or not(contains(@class,""video"") or contains(@class,""ad""))]"
bleacherreport.com,"//section[@id=""content""]/*[not(self::div)]"
timeinc.net,"//div[@class=""article""]/*[not(contains(@class,""advertisement""))]"
nbcsports.com,"//div[contains(@class,""amp-wp-article-content"")]/*[not(self::amp-iframe or descendant::amp-social-share)]"
huffpost.com,"//div[contains(@class,""entry__body"")]/*[contains(@class,""extra-content"")]/preceding-sibling::node()[not(contains(@class,""advertisement""))]"
medicalnewstoday.com,"//div[@id=""article_body""]/*[not(contains(@class,""ad_parent""))]"
cbsnews.com,"//article[contains(@class,""content"")]/section/*[not(contains(@class,""ad-container""))]"
thriveglobal.com,"//div[contains(@class,""section-inner"")]/p"
vogue.com,"//div[@class=""article""]/section/p"
harpersbazaar.com,"//div[contains(@class,""article-body"")]/*[not(contains(@class,""ad""))]"
elle.com,"//div[contains(@class,""article-body--text"")]/*[not(contains(@class,""ad""))]"
bhg.com,"//section[@class=""recipeDetail__recipeContent""]/*[not(contains(@class,""Wrapper""))]"
mashable.com,"//article[@class=""padded-content""]/*[not(contains(@class,""ad-wrapper""))]"
independent.co.uk,"//div[@class=""content""]/*[not(self::amp-ad)]"
nypost.com,"//div[@class=""content""]/p"
nbcnews.com,"//div[@class=""article-body""]/*[not(contains(@class,""ad-container""))]"
businessinsider.com,"//section[@class=""article-content""]/p"
9to5mac.com,"//div[contains(@class,""content"")]/*[self::p or self:: h3 or self::h4]"
arstechnica.com,"//div[@class=""amp-wp-content""]/p"
www.wired.com,"//div[@class=""article""]/section/p"
thenextweb.com,"//div[@class=""post-content""]/p"
venturebeat.com,"//div[contains(@class,""article-content"")]/p"
zdnet.com,"//div[@class=""story-body""]/p"
technologyreview.com,"//div[@class=""body""]/p"
cnet.com,"//div[contains(@class,""first-letter"")]/p"
usnews.com,"//article[@class=""g-article""]/div/*[not(descendant::amp-ad)]"
bbc.co.uk,"//div[contains(@class,""main_article"")]/*[self::p or self::ul or self::h2]"
cnbc.com,"//div[@class=""group""]/p"
marketwatch.com,"//article/div[@id=""sharebar""]/following-sibling::node()[not(contains(@class,""ad""))]"
entrepreneur.com,"//article/section/*[not(contains(@class,""ad""))]"
fortune.com,"//div[@class=""article""]/*[not(contains(@class,""advertisement""))]"
time.com,"//div[@class=""article""]/*[not(contains(@class,""advertisement""))]"
instyle.com,"//div[@class=""article""]/*[not(contains(@class,""advertisement""))]"
health.com,"//div[@class=""article""]/*[not(contains(@class,""advertisement""))]"
si.com,"//div[@class=""article""]/*[not(contains(@class,""advertisement""))]"
go.com,"//div[@class=""amp-page-body""]/p"
yahoo.com,//article/p
